"id","name"
3,Tambungsu           
2,Dendeng Balado      
4,Itiak Lado Hijau    
5,Pical               
6,Pangek Ikan         
7,Ampiang Dadiah      
11,Cancang             
15,Katan               
16,Gulai Kambiang      
17,Ayam Pop            
18,Rendang Ayam        
19,Dendeng Lambok      
20,Ayam Panggang       
9,Ayam Bumbu          
21,Dendeng Batokok     
13,Soto Padang         
14,Sambalado Tanak     
12,Ikan Balado         
8,Goreng Baluik       
22,Nasi Kapau          
1,Randang Dagiang     
