gid,name,address,cp,capacity,geom,"""open""","""close""",employee,id,username
8,RM Mutiara Dewi               ,Jln. Sudirman No. 23 A                            ,81363274763,40,"ST_GeomFromText(MULTIPOLYGON (((100.376905 -0.319378, 100.376954 -0.319348, 100.376983 -0.319397, 100.37693 -0.31943, 100.376905 -0.319378))))",7:00:00,21:00:00,5,RM004,
102,Rumah Soto Padang             ,Jln. Sudirman Bukittinggi                         ,8126695672,50,"ST_GeomFromText(MULTIPOLYGON (((100.372139 -0.310491, 100.372343 -0.310433, 100.372373 -0.310515, 100.372177 -0.310579, 100.372139 -0.310491))))",9:00:00,21:00:00,8,RM010,wid
34,RM Tan Marajo                 ,Jln. Professor Dokter Hamka No.102                ,8126695007,30,"ST_GeomFromText(MULTIPOLYGON (((100.375503 -0.302016, 100.375569 -0.301978, 100.375613 -0.302032, 100.375537 -0.302074, 100.375503 -0.302016))))",9:00:00,22:00:00,2,RM025,
109,Saiyo Garegeh                 ,Jln. Soekarno Hatta Garegeh                       ,75237628,70,"ST_GeomFromText(MULTIPOLYGON (((100.39033293719058 -0.2966226984470304, 100.39032757277255 -0.2968533653287325, 100.39042949671511 -0.2968506831557232, 100.39041608567004 -0.2966173341008972, 100.39033293719058 -0.2966226984470304))))",9:00:00,20:00:00,5,RM029,
3,RM Simpang Raya               ,Jln. Depan Jam Gadang 45-47                       ,75222585,80,"ST_GeomFromText(MULTIPOLYGON (((100.369547 -0.304783, 100.369565 -0.304747, 100.369599 -0.304755, 100.369584 -0.304795, 100.369547 -0.304783))))",10:00:00,22:00:00,10,RM002,
15,RM Simpang Ampek              ,Jln. Stasiun No. 9A                               ,75222810,100,"ST_GeomFromText(MULTIPOLYGON (((100.373119 -0.30938, 100.373163 -0.309267, 100.373277 -0.309308, 100.37324 -0.309419, 100.373119 -0.30938))))",6:00:00,22:00:00,8,RM005,
59,RM Bajamba                    ,"Jln. By Pass, Pulai Anak Air                      ",81270269006,500,"ST_GeomFromText(MULTIPOLYGON (((100.380648 -0.300387, 100.380732 -0.300311, 100.380856 -0.300435, 100.380776 -0.300515, 100.380648 -0.300387))))",7:00:00,23:00:00,18,RM017,
68,RM Sederhana                  ,Jln. Jend Sudirman No. 47 Bukittinggi             ,752626100,100,"ST_GeomFromText(MULTIPOLYGON (((100.371835 -0.311797, 100.371799 -0.311689, 100.372119 -0.311597, 100.372147 -0.311645, 100.372263 -0.311593, 100.372307 -0.311705, 100.372019 -0.311821, 100.371983 -0.311721, 100.371835 -0.311797))))",9:00:00,23:00:00,15,RM022,
67,RM Simpang Raya               ,"Jln. Pangeran Diponegoro No.1, Bukittinggi        ",75223593,80,"ST_GeomFromText(MULTIPOLYGON (((100.384817 -0.314273, 100.384799 -0.314116, 100.384877 -0.314078, 100.384973 -0.314116, 100.384893 -0.314303, 100.384809 -0.314255, 100.384815 -0.314239, 100.384817 -0.314273))))",10:00:00,22:00:00,15,RM021,
91,Pical Sikai                   ,Jln. Panorama Bukittinggi                         ,81266933714,30,"ST_GeomFromText(MULTIPOLYGON (((100.36449551578244 -0.3072697096212609, 100.36449015136441 -0.3073743142680807, 100.36460012193402 -0.3073153065187185, 100.36460280414303 -0.3073769964384946, 100.36466449495038 -0.3073769964384946, 100.36464035506924 -0.3072562987690255, 100.36449551578244 -0.3072697096212609))))",8:00:00,18:00:00,4,RM023,
86,Kedai Nasi Pak H. Marah       ,Jln. Raya By Pass Aur Kuning                      ,8126775946,30,"ST_GeomFromText(MULTIPOLYGON (((100.386902 -0.320209, 100.38694 -0.320094, 100.387106 -0.320094, 100.387075 -0.320236, 100.386902 -0.320209))))",9:00:00,22:00:00,7,RM028,
100,Gon Raya Lamo                 ,Jln. By Pass Pulai Anak Aia Bukittinggi           ,7528805252,70,"ST_GeomFromText(MULTIPOLYGON (((100.37986159319644 -0.2998305768915105, 100.3799983858562 -0.2999780963664265, 100.37992060179477 -0.3000719723948834, 100.37985891098742 -0.3000049180889245, 100.37981331343417 -0.300047832844784, 100.3797462582088 -0.2999324994380285, 100.37986159319644 -0.2998305768915105))))",10:00:00,21:00:00,7,RM036,
1,Rumah Makan Mak Sari          ,Jln. A. Yani No. 78 Kampung Cina                  ,82388362870,40,"ST_GeomFromText(MULTIPOLYGON (((100.368914 -0.302865, 100.369003 -0.302807, 100.369058 -0.302886, 100.368973 -0.302945, 100.368914 -0.302865))))",8:00:00,21:30:00,9,RM001,
