"id_culinary_place","id_angkot","lat","lng","description"
RM020,A001 ,-0.302611      ,"100.368580     ",Turun Di Depan Shoes Hoilic   
RM021,"19   ",-0.314470      ,"100.384720     ",Turun Di Depan SMA 3          
RM020,D003 ,-0.302611      ,"100.368580     ",Turun Di Depan Shoes Hoilic   
RM022,A001 ,-0.311565      ,"100.372417     ",Turun Di Depan Sederhana      
RM021,A002 ,-0.313914      ,"100.384806     ",Turun Di Depan Simpang Raya   
RM022,"19   ",-0.311565      ,"100.372417     ",Turun Di Depan Sederhana      
RM024,A002 ,-0.311593      ,"100.401122     ",Turun Di Depan Sikumbang Raya 
RM023,C006 ,-0.307219      ,"100.364997     ",Turun Di Depan Hotel Grand Mal
RM022,A003 ,-0.311565      ,"100.372417     ",Turun Di Depan Sederhana      
RM027,"13   ",-0.304090      ,"100.371582     ",Turun Di Jamsek               
RM025,A002 ,-0.301981      ,"100.375644     ",Turun Di Depan Tan Marajo     
RM027,A001 ,-0.304090      ,"100.371582     ",Turun Di Jamsek               
RM027,"14   ",-0.304090      ,"100.371582     ",Turun Di Jamsek               
RM030,C006 ,-0.301424      ,"100.371017     ",Turun Di Depan RM Minang Raya 
RM030,A001 ,-0.301424      ,"100.371017     ",Turun Di Depan RM Minang Raya 
RM030,"19   ",-0.301424      ,"100.371017     ",Turun Di Depan RM Minang Raya 
RM030,"15   ",-0.301424      ,"100.371017     ",Turun Di Depan RM Minang Raya 
RM031,A001 ,-0.314888      ,"100.387009     ",Turun Di Simpang Aur          
RM033,A003 ,-0.302107      ,"100.375707     ",Turun Di Depan Saraso         
RM035,A003 ,-0.312559      ,"100.380263     ",Turun Di Simpang Tarok        
RM033,A002 ,-0.302107      ,"100.375707     ",Turun Di Depan Saraso         
RM001,A001 ,-0.302512      ,"100.368512     ",Turun Di Depan Shoes Holic    
RM001,C006 ,-0.302512      ,"100.368512     ",Turun Di Depan Shoes Holic    
RM001,A003 ,-0.302512      ,"100.368512     ",Turun Di Depan Shoes Holic    
RM001,A002 ,-0.302512      ,"100.368512     ",Turun Di Depan Shoes Holic    
RM002,A001 ,-0.305212      ,"100.368050     ",Turun Di Simpang Novotel      
RM003,"14   ",-0.318320      ,"100.376124     ",Turun Di Depan Sinar Ombilin  
RM003,D003 ,-0.318320      ,"100.376124     ",Turun Di Depan Sinar Ombilin  
RM002,D003 ,-0.305212      ,"100.368050     ",Turun Di Simpang Novotel      
RM002,C006 ,-0.305212      ,"100.368050     ",Turun Di Simpang Novotel      
RM001,D003 ,-0.302512      ,"100.368512     ",Turun Di Depan Shoes Holic    
RM002,A003 ,-0.305212      ,"100.368050     ",Turun Di Simpang Novotel      
RM002,A002 ,-0.305212      ,"100.368050     ",Turun Di Simpang Novotel      
RM003,"19   ",-0.318320      ,"100.376124     ",Turun Di Depan Sinar Ombilin  
RM003,C006 ,-0.318320      ,"100.376124     ",Turun Di Depan Sinar Ombilin  
RM003,"15   ",-0.318320      ,"100.376124     ",Turun Di Depan Sinar Ombilin  
RM004,"14   ",-0.319434      ,"100.376841     ",Turun Di Depan Muriara Dewi   
RM004,"19   ",-0.319089      ,"100.376647     ",Turun Di Simpang Kapela       
RM004,"15   ",-0.319434      ,"100.376841     ",Turun Di Depan Muriara Dewi   
RM005,"19   ",-0.309512      ,"100.373045     ",Turun Di Depan RM Simpang Ampe
RM004,D003 ,-0.319434      ,"100.376841     ",Turun Di Depan Muriara Dewi   
RM004,C006 ,-0.319434      ,"100.376841     ",Turun Di Depan Muriara Dewi   
RM005,A001 ,-0.309512      ,"100.373045     ",Turun Di Depan RM Simpang Ampe
RM006,"14   ",-0.302754      ,"100.368435     ",Turun Di Simpang Masjid Nurul 
RM005,A003 ,-0.309512      ,"100.373045     ",Turun Di Depan RM Simpang Ampe
RM005,A002 ,-0.309512      ,"100.373045     ",Turun Di Depan RM Simpang Ampe
