"id_culinary_place","id_facility"
RM017,c
RM017,j
RM017,h
RM017,l
RM017,g
RM017,a
RM017,i
RM017,b
RM017,f
RM017,d
RM017,e
RM011,c
RM011,j
RM011,h
RM011,l
RM011,a
RM011,i
RM011,m
RM011,b
RM011,f
RM011,d
RM018,j
RM018,a
RM018,i
RM018,b
RM018,f
RM018,d
RM015,a
RM015,k
RM015,b
RM015,f
RM015,d
RM015,e
RM037,k
RM038,j
RM039,m
RM039,k
RM036,j
RM036,a
RM036,b
RM036,d
RM040,m
RM040,k
RM028,h
RM028,k
RM028,m
RM028,b
RM024,k
RM024,b
RM024,f
RM024,d
RM027,j
RM027,b
RM023,j
RM023,a
RM023,b
RM023,f
RM023,d
RM012,j
RM012,a
RM012,m
RM012,b
RM012,f
RM012,d
RM009,c
RM009,j
RM009,h
RM009,a
RM009,b
RM009,f
RM009,d
RM009,e
RM022,c
RM022,j
RM022,a
RM022,i
RM022,m
RM022,b
RM022,f
RM022,d
RM005,a
RM005,k
RM005,b
RM005,f
RM005,d
RM002,a
RM002,k
RM002,b
RM002,f
RM002,d
RM002,e
RM021,a
RM021,k
RM021,b
RM021,f
RM003,c
RM003,j
RM003,h
RM003,l
RM003,a
RM003,b
RM003,f
RM003,d
RM025,a
RM025,k
RM025,b
RM001,c
RM001,k
RM001,b
RM010,j
RM010,h
RM010,a
RM010,m
RM010,b
RM010,f
RM010,d
RM007,c
RM007,j
RM007,m
RM007,b
RM007,f
RM007,d
RM007,e
RM008,a
RM008,k
RM008,b
RM030,k
RM030,b
RM035,k
RM035,b
RM016,a
RM016,k
RM016,b
RM016,f
RM016,e
RM014,k
RM014,b
RM014,f
RM014,e
RM029,m
RM029,j
RM029,a
RM029,b
RM029,f
RM029,d
RM031,k
RM031,b
RM032,m
RM032,j
RM032,a
RM032,b
RM019,j
RM019,a
RM019,b
RM004,a
RM004,b
RM004,f
RM033,m
RM033,a
RM033,k
RM033,b
RM006,k
RM006,b
RM006,e
RM020,l
RM020,m
RM020,c
RM020,a
RM020,k
RM020,f
RM020,b
RM020,d
