"id_hotel","id_facility"
H002 ,2
H002 ,1
H002 ,45
H003 ,1
H004 ,1
H004 ,2
H004 ,6
H004 ,3
H004 ,7
H004 ,8
H005 ,1
H005 ,4
H005 ,2
H005 ,9
H004 ,46
H005 ,46
H006 ,10
H006 ,47
H006 ,11
H006 ,12
H006 ,3
H007 ,20
H007 ,8
H007 ,13
H007 ,14
H008 ,10
H008 ,11
H008 ,12
H008 ,15
H008 ,16
H008 ,17
H008 ,18
H008 ,19
H008 ,20
H008 ,21
H009 ,1
H010 ,8
H010 ,4
H010 ,22
H011 ,1
H011 ,45
H011 ,2
H011 ,38
H011 ,20
H011 ,8
H011 ,9
H012 ,4
H012 ,23
H012 ,45
H012 ,2
H012 ,8
H012 ,48
H013 ,23
H013 ,4
H013 ,3
H013 ,8
H013 ,9
H013 ,24
H014 ,3
H014 ,8
H015 ,2
H015 ,8
H015 ,31
H015 ,4
H015 ,25
H015 ,23
H016 ,3
H016 ,10
H016 ,2
H016 ,4
H016 ,14
H016 ,23
H016 ,25
H017 ,26
H017 ,3
H017 ,4
H017 ,9
H018 ,2
H018 ,3
H018 ,4
H019 ,2
H019 ,4
H020 ,3
H020 ,1
H020 ,4
H021 ,2
H021 ,4
H021 ,3
H021 ,9
H022 ,3
H023 ,4
H023 ,3
H023 ,9
H023 ,2
H023 ,1
H024 ,1
H024 ,3
H025 ,23
H026 ,4
H026 ,3
H026 ,9
H026 ,2
H026 ,1
H026 ,8
H027 ,23
H027 ,4
H027 ,49
H027 ,3
H027 ,8
H027 ,20
H027 ,40
H027 ,14
H028 ,4
H028 ,23
H028 ,2
H029 ,4
H029 ,2
H030 ,24
H030 ,27
H030 ,28
H030 ,50
H030 ,17
H030 ,29
H030 ,4
H030 ,10
H030 ,8
H031 ,23
H031 ,4
H031 ,3
H031 ,8
H031 ,20
H031 ,29
H032 ,45
H032 ,14
H032 ,13
H032 ,4
H033 ,3
H033 ,31
H033 ,25
H033 ,23
H033 ,30
H033 ,6
H033 ,8
H033 ,27
H034 ,3
H034 ,32
H034 ,31
H034 ,14
H034 ,29
H034 ,27
H035 ,4
H036 ,23
H036 ,4
H036 ,8
H037 ,33
H037 ,38
H037 ,8
H037 ,34
H037 ,14
H037 ,20
H038 ,23
H038 ,4
H038 ,8
H041 ,20
H041 ,45
H041 ,2
H041 ,25
H041 ,14
H041 ,8
H041 ,35
H042 ,8
H042 ,20
H042 ,2
H042 ,14
H042 ,36
H042 ,4
H042 ,3
H043 ,1
H043 ,22
H043 ,45
H043 ,2
H043 ,13
H043 ,14
H043 ,51
H043 ,8
H043 ,52
H043 ,37
H044 ,3
H044 ,4
H044 ,8
H044 ,20
H044 ,2
H044 ,53
H046 ,8
H046 ,51
H046 ,20
H046 ,23
H047 ,33
H047 ,38
H047 ,8
H047 ,34
H047 ,14
H047 ,23
H048 ,1
H048 ,2
H048 ,13
H048 ,4
H048 ,8
H049 ,1
H049 ,2
H049 ,13
H049 ,4
H049 ,8
H050 ,14
H051 ,1
H051 ,2
H051 ,13
H051 ,14
H051 ,4
H051 ,8
H052 ,20
H052 ,3
H052 ,22
H052 ,14
H052 ,4
H052 ,24
H053 ,20
H053 ,8
H053 ,14
H053 ,4
H053 ,29
H053 ,1
H054 ,20
H054 ,3
H054 ,4
H054 ,14
H054 ,38
H055 ,8
H055 ,20
H055 ,38
H055 ,4
H055 ,14
H056 ,20
H056 ,14
H056 ,8
H056 ,4
H056 ,54
H056 ,1
H056 ,3
H056 ,6
H056 ,22
H056 ,2
H056 ,30
H057 ,4
H057 ,38
H058 ,1
H058 ,22
H058 ,3
H058 ,45
H058 ,2
H058 ,4
H058 ,5
H058 ,39
H058 ,46
H059 ,40
H059 ,4
H059 ,1
H059 ,3
H059 ,5
H059 ,39
H059 ,46
H060 ,4
H060 ,1
H060 ,46
H060 ,5
H061 ,4
H061 ,40
H061 ,41
H061 ,1
H061 ,42
H061 ,14
H061 ,29
H061 ,3
H061 ,43
H061 ,24
H062 ,4
H062 ,3
H062 ,38
H062 ,8
H062 ,5
H062 ,46
H063 ,4
H063 ,9
H063 ,1
H064 ,4
H064 ,9
H064 ,5
H064 ,1
H065 ,4
H066 ,45
H066 ,1
H066 ,3
H066 ,9
H066 ,5
H066 ,14
H067 ,3
H067 ,1
H067 ,44
H067 ,5
H067 ,4
H068 ,1
H069 ,3
H069 ,4
H069 ,8
H069 ,14
H069 ,5
H069 ,20
H070 ,8
H070 ,3
H070 ,4
H001 ,2
H001 ,4
H001 ,1
H001 ,3
