"id_angkot","id_hotel","lat","lng","description"
"18   ",H036 ,-0.299333164394,"100.36863684654",Turun di simpang 4            
"15   ",H031 ,-0.304560717170,"100.36526799201",Turun di simpang 4            
"13   ",H058 ,-0.300164637810,"100.37459135055",Turun di Simpang Mandiangin   
"13   ",H060 ,-0.299207102290,"100.37645548582",Turun di depan hotel          
"13   ",H048 ,-0.299840094968,"100.37487298250",Turun di depan hotel          
"13   ",H063 ,-0.307736407309,"100.38616508245",Turun di dekat kantor FIF Spek
"13   ",H067 ,-0.301505723832,"100.37239730358",Turun di depan hotel          
"14   ",H011 ,-0.307983166976,"100.37069141864",Turun di depan hotel          
"14   ",H015 ,-0.300679614862,"100.36627650260",Turun di simpang 3            
"15   ",H051 ,-0.307613027473,"100.36670565605",Turun di dekat gang kecil     
"15   ",H032 ,-0.298973753285,"100.36821573972",Turun di depan hotel          
"14   ",H026 ,-0.300679614862,"100.36627650260",Turun di depan hotel          
"14   ",H029 ,-0.299330482222,"100.36860197782",Turun di persimpangan         
"14   ",H031 ,-0.304560717170,"100.36526799201",Turun di simpang 4            
"14   ",H032 ,-0.298973753285,"100.36821573972",Turun di depan hotel          
"14   ",H034 ,-0.298957660250,"100.36807090044",Turun di depan hotel          
"14   ",H035 ,-0.299292931808,"100.36854833364",Turun di depan hotel          
"14   ",H036 ,-0.299362668291,"100.36873072385",Turun di simpang 4            
"14   ",H041 ,-0.310877228298,"100.37218272686",Turun di simpang 3            
"15   ",H050 ,-0.307500376317,"100.36642670631",Turun di depan hotel          
"14   ",H042 ,-0.310877228298,"100.37218272686",Turun di depan hotel          
"15   ",H034 ,-0.298957660250,"100.36807090044",Turun di depan hotel          
"14   ",H043 ,-0.310877228298,"100.37218272686",Turun di depan hotel          
"14   ",H044 ,-0.311743569022,"100.37240803241",Turun di depan hotel          
"14   ",H045 ,-0.302315739709,"100.36571592092",Turun di depan hotel          
"14   ",H049 ,-0.307733725138,"100.36790996789",Turun di depan wisma          
"14   ",H050 ,-0.307500376317,"100.36642670631",Turun di depan hotel          
"14   ",H051 ,-0.307613027473,"100.36670565605",Turun di dekat gang kecil     
"14   ",H052 ,-0.307320670900,"100.36944150924",Turun di depan hotel          
"14   ",H053 ,-0.307610345303,"100.36907136440",Turun di depan hotel          
"14   ",H054 ,-0.307191926719,"100.36958098411",Turun di dekat atm bca        
"14   ",H055 ,-0.307712267776,"100.36871999502",Turun di depan hotel          
"18   ",H048 ,-0.299832048451,"100.37482202053",Turun di depan hotel          
"18   ",H034 ,-0.299102497565,"100.36855906248",Turun di monumen imam bonjol  
"15   ",H035 ,-0.299292931808,"100.36854833364",Turun di depan hotel          
"14   ",H056 ,-0.307132918968,"100.36515802145",Turun di depan hotel          
"14   ",H064 ,-0.299343893084,"100.36861807107",Turun di simpang 4            
"14   ",H065 ,-0.299343893084,"100.36861807107",Turun di simpang 4            
"15   ",H001 ,-0.316681441563,"100.37252068519",Turun di depan hotel          
"14   ",H003 ,-0.305904484818,"100.37032395601",Turun di depan hotel          
"15   ",H052 ,-0.307320670900,"100.36944150924",Turun di depan hotel          
"15   ",H003 ,-0.305904484818,"100.37032395601",Turun di depan hotel          
"14   ",H010 ,-0.312628684858,"100.37284791469",Turun di dekat lapang kantin  
"15   ",H041 ,-0.310877228298,"100.37218272686",Turun di simpang 3            
"15   ",H010 ,-0.312628684858,"100.37284791469",Turun di dekat lapang kantin  
"15   ",H011 ,-0.307983166976,"100.37069141864",Turun di depan hotel          
"15   ",H064 ,-0.299343893084,"100.36861807107",Turun di simpang 4            
"15   ",H065 ,-0.299343893084,"100.36861807107",Turun di simpang 4            
"15   ",H026 ,-0.300679614862,"100.36627650260",Turun di depan hotel          
"15   ",H042 ,-0.310877228298,"100.37218272686",Turun di depan hotel          
"15   ",H027 ,-0.299416311739,"100.3668934106 ",Turun di depan hotel          
"15   ",H029 ,-0.299330482222,"100.36860197782",Turun di simpang 4            
"15   ",H053 ,-0.307610345303,"100.36907136440",Turun di depan hotel          
"15   ",H043 ,-0.310877228298,"100.37218272686",Turun di depan hotel          
"15   ",H044 ,-0.311743569022,"100.37240803241",Turun di depan hotel          
"18   ",H028 ,-0.299333164394,"100.36863684654",Turun di simpang 4            
"15   ",H045 ,-0.302315739709,"100.36571592092",Turun di depan hotel          
"15   ",H054 ,-0.307191926719,"100.36958098411",Turun di dekat ATM bca        
"15   ",H049 ,-0.307733725138,"100.36790996789",Turun di depan wisma          
"15   ",H055 ,-0.307712267776,"100.36871999502",Turun di depan hotel          
"18   ",H060 ,-0.299252699222,"100.37645280361",Turun di depan hotel          
"15   ",H056 ,-0.307132918968,"100.36515802145",Turun di depan hotel          
"18   ",H035 ,-0.299333164394,"100.36863684654",Turun di simpang 4            
"18   ",H029 ,-0.299333164394,"100.36863684654",Turun di simpang 4            
"18   ",H032 ,-0.299102497565,"100.36855906248",Turun di depan hotel          
