"id_angkot","id_restaurant","lat","lng","description"
C006,R0006,-0.320104,"100.377255",
C006,R0041,-0.300794,"100.368645",
"14",R0006,-0.320104,"100.377255",
"14",R0004,-0.320400,"100.377439",
"14",R0005,-0.301785,"100.365884",
"14",R0008,-0.321175,"100.377977",
"14",R0032,-0.310704,"100.372081",
"15",R0048,-0.325296,"100.379455",
"14",R0037,-0.299317,"100.368739",
"14",R0035,-0.305771,"100.370308",
"19",R0037,-0.299317,"100.368739",
A001,R0037,-0.299860,"100.368715",
A003,R0037,-0.299860,"100.368715",
"14",R0047,-0.325296,"100.379455",
"16",R0044,-0.298024,"100.368262",
"17",R0044,-0.298024,"100.368262",
"19",R0044,-0.298024,"100.368262",
A001,R0044,-0.298024,"100.368262",
"15",R0047,-0.325296,"100.379455",
C001,R0044,-0.298024,"100.368262",
"14",R0048,-0.325296,"100.379455",
"15",R0002,-0.307147,"100.369771",
"19",R0002,-0.307147,"100.369771",
A002,R0002,-0.306645,"100.368287",
C001,R0002,-0.306645,"100.368287",
C006,R0002,-0.306645,"100.368287",
"19",R0004,-0.319122,"100.376649",
"15",R0005,-0.301767,"100.365906",
C001,R0005,-0.301767,"100.365906",
C006,R0005,-0.301767,"100.365906",
A001,R0007,-0.307157,"100.369761",
"19",R0006,-0.319104,"100.376643",
"16",R0007,-0.307658,"100.368907",
A003,R0007,-0.307157,"100.369761",
C001,R0007,-0.307658,"100.368907",
"15",R0009,-0.316732,"100.372553",
"15",R0021,-0.299049,"100.367766",
"16",R0021,-0.299049,"100.367766",
A002,R0021,-0.299318,"100.368596",
C006,R0021,-0.299049,"100.367766
",
"15",R0032,-0.311003,"100.372162",
A001,R0032,-0.311003,"100.372162",
C006,R0032,-0.311003,"100.372162",
"16",R0025,-0.297079,"100.368057",
"19",R0034,-0.311003,"100.372162",
A002,R0034,-0.311003,"100.372162",
C006,R0034,-0.311003,"100.372162",
"18",R0025,-0.297323,"100.368093",
C006,R0025,-0.297079,"100.368057",
C006,R0036,-0.300779,"100.366223",
"19",R0036,-0.300779,"100.366223",
"16",R0037,-0.299199,"100.368621",
"18",R0037,-0.299199,"100.368621",
"17",R0059,-0.296671,"100.388735",
C006,R0037,-0.299874,"100.368686",
"17",R0058,-0.296983,"100.386444",
A004,R0058,-0.296983,"100.386444",
"19",R0038,-0.300384,"100.368659",
A001,R0038,-0.300384,"100.368659",
C001,R0038,-0.300384,"100.368659",
"19",R0054,-0.311845,"100.374905",
A002,R0054,-0.311845,"100.374905",
A001,R0001,-0.305067,"100.368123",
A001,R0011,-0.302172,"100.375779",
