"id_room","id_hotel"
1,H001 
2,H001 
3,H001 
4,H002 
5,H002 
4,H003 
6,H003 
7,H004 
8,H004 
9,H004 
10,H004 
11,H005 
12,H005 
13,H006 
9,H006 
15,H006 
45,H007 
2,H007 
17,H007 
18,H008 
20,H008 
19,H008 
22,H008 
21,H008 
23,H009 
24,H009 
25,H010 
26,H010 
27,H011 
29,H011 
10,H011 
9,H011 
57,H012 
26,H012 
32,H012 
33,H013 
34,H013 
8,H013 
35,H014 
39,H014 
36,H014 
40,H015 
38,H015 
39,H015 
37,H016 
42,H016 
44,H016 
41,H016 
43,H016 
45,H017 
2,H017 
7,H018 
48,H019 
47,H019 
49,H020 
30,H020 
64,H021 
6,H022 
50,H023 
48,H024 
52,H024 
51,H024 
53,H025 
45,H026 
51,H026 
54,H027 
74,H027 
14,H027 
49,H028 
30,H028 
55,H028 
53,H029 
56,H030 
28,H031 
57,H032 
48,H032 
52,H032 
5,H032 
58,H032 
59,H033 
39,H033 
40,H033 
39,H034 
30,H035 
2,H036 
50,H037 
8,H037 
62,H038 
63,H038 
64,H039 
65,H039 
66,H039 
67,H039 
24,H040 
69,H040 
24,H041 
70,H041 
8,H041 
81,H042 
5,H042 
72,H042 
73,H042 
24,H043 
69,H043 
74,H043 
27,H044 
68,H044 
75,H044 
76,H044 
63,H045 
77,H046 
54,H046 
78,H046 
79,H046 
80,H046 
82,H047 
81,H047 
48,H048 
82,H048 
83,H048 
48,H049 
82,H049 
83,H049 
24,H050 
84,H050 
3,H050 
85,H051 
82,H051 
83,H051 
7,H052 
8,H052 
9,H052 
74,H053 
14,H053 
42,H053 
48,H054 
83,H054 
75,H055 
28,H055 
3,H055 
74,H056 
9,H056 
10,H056 
86,H056 
16,H057 
57,H057 
51,H057 
87,H057 
48,H058 
70,H058 
90,H058 
24,H059 
75,H059 
30,H060 
82,H060 
81,H060 
87,H060 
16,H061 
27,H062 
28,H062 
89,H062 
25,H063 
2,H063 
57,H064 
48,H064 
30,H065 
5,H066 
28,H066 
48,H067 
82,H067 
16,H068 
59,H069 
74,H069 
