"id_small_industry","id_angkot","lat","lng","description"
IK001,"17   ",-0.297942      ,"100.381879     ",Turun Di Depan Tenun Silungkan
IK001,"18   ",-0.297942      ,"100.381879     ",Turun Di Depan Tenun Silungkan
IK007,A001 ,-0.305211      ,"100.368074     ",Turun Di Simpang Bank BTN     
IK002,"14   ",-0.306998      ,"100.365151     ",Turun Di Depan Azandra        
IK002,C006 ,-0.306998      ,"100.365151     ",Turun Di Depan Azandra        
IK002,"19   ",-0.306998      ,"100.365151     ",Turun Di Depan Azandra        
IK002,"15   ",-0.306998      ,"100.365151     ",Turun Di Depan Azandra        
IK003,"14   ",-0.305323      ,"100.365346     ",Turun Di Depan Basulam Indah B
IK010,A001 ,-0.302598      ,"100.368616     ",Turun Di Depan Shoes Holic    
IK013,"17   ",-0.293870      ,"100.384443     ",Turun Di Depan Soccer One Futs
IK016,"14   ",-0.307602      ,"100.365033     ",Turun Di Depan Panorama       
IK016,"19   ",-0.307602      ,"100.365033     ",Turun Di Depan Panorama       
IK003,C006 ,-0.305323      ,"100.365346     ",Turun Di Depan Basulam Indah B
IK003,"19   ",-0.305323      ,"100.365346     ",Turun Di Depan Basulam Indah B
IK003,"15   ",-0.305323      ,"100.365346     ",Turun Di Depan Basulam Indah B
IK004,A001 ,-0.305211      ,"100.368074     ",Turun Di Simpang Bank BTN     
IK013,D002 ,-0.293870      ,"100.384443     ",Turun Di Depan Soccer One Futs
IK007,D003 ,-0.305211      ,"100.368074     ",Turun Di Simpang Bank BTN     
IK007,C006 ,-0.305211      ,"100.368074     ",Turun Di Simpang Bank BTN     
IK007,A003 ,-0.305211      ,"100.368074     ",Turun Di Simpang Bank BTN     
IK007,A002 ,-0.305211      ,"100.368074     ",Turun Di Simpang Bank BTN     
IK004,C006 ,-0.305211      ,"100.368074     ",Turun Di Simpang Bank BTN     
IK004,D003 ,-0.305211      ,"100.368074     ",Turun Di Simpang Bank BTN     
IK004,A003 ,-0.305211      ,"100.368074     ",Turun Di Simpang Bank BTN     
IK004,A002 ,-0.305211      ,"100.368074     ",Turun Di Simpang Bank BTN     
IK005,A001 ,-0.302638      ,"100.368558     ",Turun Di Depan Shoes Holic    
IK015,"19   ",-0.307602      ,"100.365033     ",Turun Di Depan Panorama       
IK010,D003 ,-0.302598      ,"100.368616     ",Turun Di Depan Shoes Holic    
IK010,C006 ,-0.302598      ,"100.368616     ",Turun Di Depan Shoes Holic    
IK010,A003 ,-0.302598      ,"100.368616     ",Turun Di Depan Shoes Holic    
IK005,C006 ,-0.302638      ,"100.368558     ",Turun Di Depan Shoes Holic    
IK005,D003 ,-0.302638      ,"100.368558     ",Turun Di Depan Shoes Holic    
IK005,A003 ,-0.302638      ,"100.368558     ",Turun Di Depan Shoes Holic    
IK005,A002 ,-0.302638      ,"100.368558     ",Turun Di Depan Shoes Holic    
IK010,A002 ,-0.302598      ,"100.368616     ",Turun Di Depan Shoes Holic    
IK011,"17   ",-0.293917      ,"100.386590     ",Turun Di Depan KUB Jam Gadang 
IK008,"14   ",-0.319536      , 100.376869    ,Turun Di Depan Cendrawasih    
IK008,D003 ,-0.319536      , 100.376869    ,Turun Di Depan Cendrawasih    
IK008,C006 ,-0.319536      , 100.376869    ,Turun Di Depan Cendrawasih    
IK008,"15   ",-0.319536      , 100.376869    ,Turun Di Depan Cendrawasih    
IK008,"19   ",-0.319097      ,"100.376742     ",Turun Di Simpang Kapela       
IK009,"14   ",-0.311398      ,"100.372300     ",Turun Di Depan Rafa           
IK015,"15   ",-0.307602      ,"100.365033     ",Turun Di Depan Panorama       
IK015,C006 ,-0.307602      ,"100.365033     ",Turun Di Depan Panorama       
IK011,D002 ,-0.293917      ,"100.386590     ",Turun Di Depan KUB Jam Gadang 
IK011,"18   ",-0.29733       ,"100.384455     ",Turun Di Simpang Limau        
IK014,"17   ",-0.293870      ,"100.384443     ",Turun Di Depan Soccer One Futs
IK009,A003 ,-0.311398      ,"100.372300     ",Turun Di Depan Rafa           
IK009,A002 ,-0.311398      ,"100.372300     ",Turun Di Depan Rafa           
IK009,A001 ,-0.311398      ,"100.372300     ",Turun Di Depan Rafa           
IK009,"19   ",-0.311398      ,"100.372300     ",Turun Di Depan Rafa           
IK009,"15   ",-0.311398      ,"100.372300     ",Turun Di Depan Rafa           
IK014,D002 ,-0.293870      ,"100.384443     ",Turun Di Depan Soccer One Futs
IK015,"14   ",-0.307602      ,"100.365033     ",Turun Di Depan Panorama       
IK012,"18   ",-0.29733       ,"100.384455     ",Turun Di Simpang Limau        
IK012,"17   ",-0.295579      ,"100.384535     ",Turun Di Depan Milanda Bordir 
IK012,D002 ,-0.295579      ,"100.384535     ",Turun Di Depan Milanda Bordir 
IK016,C006 ,-0.307602      ,"100.365033     ",Turun Di Depan Panorama       
IK017,C006 ,-0.296305      ,"100.367836     ",Turun Di Depan Minotti        
IK016,"15   ",-0.307602      ,"100.365033     ",Turun Di Depan Panorama       
IK019,A001 ,-0.305236      ,"100.368048     ",Turun Di Simpang Bank BTN     
IK019,A002 ,-0.305236      ,"100.368048     ",Turun Di Simpang Bank BTN     
IK024,D003 ,-0.305236      ,"100.368048     ",Turun Di Simpang Bank BTN     
IK019,D003 ,-0.305236      ,"100.368048     ",Turun Di Simpang Bank BTN     
IK019,C006 ,-0.305236      ,"100.368048     ",Turun Di Simpang Bank BTN     
IK019,A003 ,-0.305236      ,"100.368048     ",Turun Di Simpang Bank BTN     
IK024,C006 ,-0.305236      ,"100.368048     ",Turun Di Simpang Bank BTN     
IK024,A003 ,-0.305236      ,"100.368048     ",Turun Di Simpang Bank BTN     
IK024,A002 ,-0.305236      ,"100.368048     ",Turun Di Simpang Bank BTN     
IK024,A001 ,-0.305236      ,"100.368048     ",Turun Di Simpang Bank BTN     
IK020,D003 ,-0.305236      ,"100.368048     ",Turun Di Simpang Bank BTN     
IK020,C006 ,-0.305236      ,"100.368048     ",Turun Di Simpang Bank BTN     
IK020,A003 ,-0.305236      ,"100.368048     ",Turun Di Simpang Bank BTN     
IK020,A002 ,-0.305236      ,"100.368048     ",Turun Di Simpang Bank BTN     
IK020,A001 ,-0.305236      ,"100.368048     ",Turun Di Simpang Bank BTN     
IK021,D003 ,-0.305236      ,"100.368048     ",Turun Di Simpang Bank BTN     
IK021,C006 ,-0.305236      ,"100.368048     ",Turun Di Simpang Bank BTN     
IK021,A003 ,-0.305236      ,"100.368048     ",Turun Di Simpang Bank BTN     
IK021,A001 ,-0.305236      ,"100.368048     ",Turun Di Simpang Bank BTN     
IK021,A002 ,-0.305236      ,"100.368048     ",Turun Di Simpang Bank BTN     
IK022,D003 ,-0.305236      ,"100.368048     ",Turun Di Simpang Bank BTN     
IK022,C006 ,-0.305236      ,"100.368048     ",Turun Di Simpang Bank BTN     
IK022,A003 ,-0.305236      ,"100.368048     ",Turun Di Simpang Bank BTN     
IK022,A002 ,-0.305236      ,"100.368048     ",Turun Di Simpang Bank BTN     
IK022,A001 ,-0.305236      ,"100.368048     ",Turun Di Simpang Bank BTN     
IK029,D003 ,-0.302638      ,"100.368558     ",Turun Di Depan Shoes Holic    
IK029,C006 ,-0.302638      ,"100.368558     ",Turun Di Depan Shoes Holic    
IK029,A002 ,-0.302638      ,"100.368558     ",Turun Di Depan Shoes Holic    
IK029,A001 ,-0.302638      ,"100.368558     ",Turun Di Depan Shoes Holic    
IK029,A003 ,-0.302638      ,"100.368558     ",Turun Di Depan Shoes Holic    
IK023,D003 ,-0.305236      ,"100.368048     ",Turun Di Simpang Bank BTN     
IK023,C006 ,-0.305236      ,"100.368048     ",Turun Di Simpang Bank BTN     
IK023,A003 ,-0.305236      ,"100.368048     ",Turun Di Simpang Bank BTN     
IK023,A002 ,-0.305236      ,"100.368048     ",Turun Di Simpang Bank BTN     
IK023,A001 ,-0.305236      ,"100.368048     ",Turun Di Simpang Bank BTN     
IK028,D003 ,-0.302638      ,"100.368558     ",Turun Di Depan Shoes Holic    
IK028,C006 ,-0.302638      ,"100.368558     ",Turun Di Depan Shoes Holic    
IK028,A003 ,-0.302638      ,"100.368558     ",Turun Di Depan Shoes Holic    
IK028,A002 ,-0.302638      ,"100.368558     ",Turun Di Depan Shoes Holic    
IK028,A001 ,-0.302638      ,"100.368558     ",Turun Di Depan Shoes Holic    
