"id_souvenir","id_angkot","lat","lng","description"
SO012,"17   ",-0.29409       ,"100.386267     ",Turun Di Depan Sanjai Erli    
SO015,"18   ",-0.29733       ,"100.384455     ",Turun Di Simpang Limau        
SO002,"18   ",-0.29700       ,"100.386295     ",Turun Di Simpang Toko Hokky   
SO016,"17   ",-0.29099       ,"100.384353     ",Turun Di Simpang Banto Darano 
SO001,"13   ",-0.298718      ,"100.378950     ",Turun Di Simpang Lampu Merah B
SO001,"18   ",-0.29807       ,"100.381440     ",Turun Di Depan Toko Kue ID Cak
SO012,D002 ,-0.29409       ,"100.386267     ",Turun Di Depan Sanjai Erli    
SO013,"17   ",-0.29486       ,"100.385532     ",Turun Di Simpang Gang Kipang K
SO023,"13   ",-0.298718      ,"100.378950     ",Turun Di Simpang Lampu Merah B
SO007,A001 ,-0.305295      ,"100.367735     ",Turun Didepan Bank Nagari     
SO003,"18   ",-0.29700       ,"100.386295     ",Turun Di Simpang Toko Hokky   
SO007,"14   ",-0.304760      ,"100.365243     ",Turun Disimpang Ngarai        
SO007,"19   ",-0.304760      ,"100.365243     ",Turun Disimpang Ngarai        
SO007,"15   ",-0.304760      ,"100.365243     ",Turun Disimpang Ngarai        
SO005,A001 ,-0.312349      ,"100.373411     ",Turun Di Depan Roti Durian Nin
SO005,"15   ",-0.31271       ,"100.372847     ",Turun Di Simpang Lampu Merah  
SO018,D002 ,-0.29049       ,"100.384356     ",Turun Di Depan Sanjai Ni Elly 
SO013,D002 ,-0.29486       ,"100.385532     ",Turun Di Simpang Gang Kipang K
SO007,D003 ,-0.305295      ,"100.367735     ",Turun Didepan Bank Nagari     
SO007,C006 ,-0.305295      ,"100.367735     ",Turun Didepan Bank Nagari     
SO007,A003 ,-0.305295      ,"100.367735     ",Turun Didepan Bank Nagari     
SO007,A002 ,-0.305295      ,"100.367735     ",Turun Didepan Bank Nagari     
SO004,"14   ",-0.321292      ,"100.378018     ",Turun Didepan Sanjai Ummi Aufa
SO016,D002 ,-0.29099       ,"100.384353     ",Turun Di Simpang Banto Darano 
SO014,"17   ",-0.29381       ,"100.384413     ",Turun Di Di Simpang Sanjai Ni 
SO014,D002 ,-0.29381       ,"100.384413     ",Turun Di Di Simpang Sanjai Ni 
SO005,D003 ,-0.31271       ,"100.372847     ",Turun Di Simpang Lampu Merah  
SO005,C006 ,-0.31271       ,"100.372847     ",Turun Di Simpang Lampu Merah  
SO010,"17   ",-0.29314       ,"100.384415     ",Turun Di Depan Sanjai Amak    
SO005,"19   ",-0.31271       ,"100.372847     ",Turun Di Simpang Lampu Merah  
SO004,D003 ,-0.321292      ,"100.378018     ",Turun Didepan Sanjai Ummi Aufa
SO004,C006 ,-0.321292      ,"100.378018     ",Turun Didepan Sanjai Ummi Aufa
SO004,"15   ",-0.321292      ,"100.378018     ",Turun Didepan Sanjai Ummi Aufa
SO014,"18   ",-0.29733       ,"100.384455     ",Turun Di Simpang Limau        
SO005,A002 ,-0.312349      ,"100.373411     ",Turun Di Depan Roti Durian Nin
SO023,"18   ",-0.29790       ,"100.382120     ",Turun Di Depan Sanjai Ummi Auf
SO017,"18   ",-0.29733       ,"100.384455     ",Turun Di Simpang Limau        
SO013,"18   ",-0.29733       ,"100.384455     ",Turun Di Simpang Limau        
SO005,A003 ,-0.312349      ,"100.373411     ",Turun Di Depan Roti Durian Nin
SO008,"17   ",-0.29236       ,"100.384344     ",Turun Di Simpang Jl. Flamboyan
SO008,D002 ,-0.29224       ,"100.384323     ",Turun Di Depan Sanjai Nina    
SO009,"18   ",-0.29712       ,"100.386411     ",Turun Di Simpang Toko Hoki    
SO009,"17   ",-0.296835      ,"100.387874     ",Turun DI Depan Sanjai Keluarg 
SO016,"18   ",-0.29733       ,"100.384455     ",Turun Di Simpang Limau        
SO023,"17   ",-0.29790       ,"100.382120     ",Turun Di Depan Sanjai Ummi Auf
SO012,"18   ",-0.29733       ,"100.384455     ",Turun Di Simpang Limau        
SO001,"17   ",-0.29807       ,"100.381440     ",Turun Di Depan Toko Kue ID Cak
SO002,"17   ",-0.29682       ,"100.387832     ",Turun Di Depan SAnjai Nita    
SO003,"17   ",-0.29679       ,"100.388122     ",Turun Di Depan Sanjai Langgana
SO010,D002 ,-0.29314       ,"100.384415     ",Turun Di Depan Sanjai Amak    
SO004,"19   ",-0.319089      ,"100.376647     ",Turun Di Simpang Kapela       
SO010,"18   ",-0.29733       ,"100.384455     ",Turun Di Simpang Limau        
SO011,"18   ",-0.29712       ,"100.386411     ",Turun Di Simpang Toko Hoki    
SO011,"17   ",-0.29681       ,"100.387360     ",Turun Di Depan Sanjai Mintuo  
SO015,"17   ",-0.29452       ,"100.385804     ",Turun Di Depan Tungku Sajai Ma
SO017,"17   ",-0.29431       ,"100.386022     ",Turun Di Depan Sanjai Romi    
SO015,D002 ,-0.29452       ,"100.385804     ",Turun Di Depan Tungku Sajai Ma
SO019,D002 ,-0.28985       ,"100.384351     ",Turun Di Depan Sanjai Dua Putr
SO017,D002 ,-0.29431       ,"100.386022     ",Turun Di Depan Sanjai Romi    
SO018,"18   ",-0.29733       ,"100.384455     ",Turun Di Simpang Limau        
SO019,"18   ",-0.29733       ,"100.384455     ",Turun Di Simpang Limau        
SO018,"17   ",-0.29228       ,"100.384269     ",Turun Di Simpang Jl. Flamboyan
SO019,"17   ",-0.29228       ,"100.384269     ",Turun Di Simpang Jl. Flamboyan
SO020,D002 ,-0.28790       ,"100.383952     ",Turun Di Depan Tungku Kerupuk 
SO020,"17   ",-0.29228       ,"100.384269     ",Turun Di Simpang Jl. Flamboyan
SO024,"17   ",-0.294104      ,"100.386236     ",Turun Di Depan Depot Aqua Life
SO024,D002 ,-0.294104      ,"100.386236     ",Turun Di Depan Depot Aqua Life
SO024,"18   ",-0.29733       ,"100.384455     ",Turun Di Simpang Limau        
SO025,A001 ,-0.312553      ,"100.380207     ",Turun Di Simpang Tarok        
SO025,A002 ,-0.312553      ,"100.380207     ",Turun Di Simpang Tarok        
