"id_angkot","id_worship_place","lat","lng","description"
"13   ",M0017,-0.311433,"100.380211",
"13   ",M0018,-0.300615,"100.373655",
"13   ",M0045,-0.304848,"100.372008",
"14   ",M0006,-0.318581,"100.376293",
"14   ",M0020,-0.324002,"100.379242",
"14   ",M0038,-0.301177,"100.366101",
A001 ,M0019,-0.303803,"100.373086",
"15   ",M0006,-0.318581,"100.376293",
"15   ",M0011,-0.307221,"100.364984",
"15   ",M0014,-0.311357,"100.372291",
A001 ,M0033,-0.305057,"100.368095",
"15   ",M0020,-0.324002,"100.379242",
A001 ,M0041,-0.312926,"100.382344",
"15   ",M0038,-0.301177,"100.366101",
"16   ",M0003,-0.287041,"100.365814",
A001 ,M0045,-0.304676,"100.372499",
"16   ",M0008,-0.292553,"100.364716",
B003 ,M0007,-0.297242,"100.374461",
"16   ",M0011,-0.307221,"100.364984",
"16   ",M0028,-0.296956,"100.368019",
A002 ,M0012,-0.302841,"100.368440",
"16   ",M0038,-0.301177,"100.366101",
"16   ",M0045,-0.304579,"100.371374",
"17   ",M0004,-0.290109,"100.379641",
A002 ,M0015,-0.314708,"100.386438",
"17   ",M0009,-0.287806,"100.368355",
"17   ",M0010,-0.291279,"100.374643",
"17   ",M0018,-0.300605,"100.373681",
"17   ",M0028,-0.297069,"100.368034",
"17   ",M0044,-0.292209,"100.383466",
"18   ",M0007,-0.297222,"100.374485",
"18   ",M0017,-0.311417,"100.380197",
"18   ",M0045,-0.304843,"100.371968",
B003 ,M0019,-0.303461,"100.372910",
"19   ",M0002,-0.321305,"100.385269",
"19   ",M0006,-0.318540,"100.376219",
A002 ,M0016,-0.311935,"100.374633",
"19   ",M0011,-0.307221,"100.364984",
"19   ",M0016,-0.311935,"100.374633",
"19   ",M0035,-0.319317,"100.385492",
C001 ,M0007,-0.297230,"100.374489",
"19   ",M0038,-0.301177,"100.366101",
A001 ,M0012,-0.302841,"100.368440",
A001 ,M0015,-0.313695,"100.384539",
A002 ,M0018,-0.300605,"100.373681",
A001 ,M0016,-0.311935,"100.374633",
A002 ,M0019,-0.303701,"100.373071",
A001 ,M0018,-0.300605,"100.373681",
A002 ,M0022,-0.309597,"100.405175",
C006 ,M0038,-0.301177,"100.366101",
A002 ,M0033,-0.305057,"100.368095",
C001 ,M0012,-0.302841,"100.368440",
A002 ,M0041,-0.312919,"100.382384",
A002 ,M0045,-0.304676,"100.372725",
D002 ,M0004,-0.289792,"100.379873",
A003 ,M0012,-0.302841,"100.368440",
C001 ,M0018,-0.300605,"100.373681",
A003 ,M0016,-0.311935,"100.374633",
C001 ,M0030,-0.296099,"100.361626",
A003 ,M0018,-0.300605,"100.373681",
A003 ,M0019,-0.303723,"100.373092",
D002 ,M0019,-0.303481,"100.372793",
A003 ,M0033,-0.305057,"100.368095",
C001 ,M0033,-0.305057,"100.368095",
A003 ,M0041,-0.312919,"100.382384",
C001 ,M0036,-0.294117,"100.359081",
A003 ,M0045,-0.304676,"100.372725",
A004 ,M0019,-0.303474,"100.372741",
D002 ,M0023,-0.285301,"100.384822",
C001 ,M0038,-0.301177,"100.366101",
C006 ,M0006,-0.318398,"100.376194",
C006 ,M0009,-0.287812,"100.368355",
D002 ,M0043,-0.290898,"100.384342",
C006 ,M0012,-0.302841,"100.368440",
C006 ,M0028,-0.297031,"100.368050",
C006 ,M0033,-0.305057,"100.368095",
D003 ,M0006,-0.318540,"100.376219",
D003 ,M0012,-0.302841,"100.368440",
D003 ,M0026,-0.325286,"100.379459",
D003 ,M0028,-0.324092,"100.379242",
D003 ,M0033,-0.305057,"100.368095",
D003 ,M0045,-0.304668,"100.371347",
"17   ",M0025,-0.296951,"100.386337",
