"id","name"
2,Air Panas           
3,Wifi                
4,Parkir              
5,Alat Sholat         
6,Coffer Maker        
7,Galeri Barang Antik 
8,Restoran            
10,Swimming pool       
11,Tennis Court        
12,Jogging Track       
13,Taxi                
14,Laundry Service     
15,Basket Ball         
16,Volley Ball         
17,Bilyard             
18,Salon               
19,Fitness             
20,Meeting Room        
21,Convention Hall     
23,Layanan Kamar       
24,ATM                 
25,Mini Bar            
26,CCTV                
9,Sarapan             
27,Antar jempiut bandar
28,Penitipan Anak      
29,Sewa Mobil          
30,Kulkas              
31,Taman               
32,Pijat               
33,Sport Facility      
34,Karauke             
35,Live Music          
36,Free Car Washing    
38,Lobi                
39,Al Quran            
40,Ruang Keluarga      
41,Area Bebas Asap Roko
42,Minimarket          
43,Photocopy           
44,Fax                 
45,Shower              
46,Arah Kiblat         
47,Private Balcony     
22,AC                  
48,Toko Kopi           
49,Brankas             
50,Barbeque            
51,Bar                 
37,European Food       
52,Chinnese Food       
53,Souvenir            
54,Orgen               
1,Tv                  
