"name","id"
ATM                           ,a
Bendi                         ,b
Gazebo                        ,c
Ojek                          ,d
Pakaian Adat                  ,e
Parkir                        ,f
Photografer                   ,g
Taman                         ,h
Tempat Bermain Anak           ,i
Tempat Ibadah                 ,j
Tempat Makan                  ,k
Toko Souvenir                 ,l
Wc Umum                       ,m
Tempat Istirahat              ,n
Guide                         ,o
