"id","name","address","cp","geom","ktp","marriage_book","mushalla","star","id_type","username"
H018,Seruni Guest House       ,Jln. Yos Sudarso No. 12                           ,"0752-22667  ","MULTIPOLYGON (((100.366697 -0.303755, 100.366842 -0.303684, 100.366907 -0.303796, 100.366735 -0.303861, 100.366683 -0.303762, 100.366697 -0.303755)))",,1,0,"0 ",e,
H045,Hotel Sitawa Sidingin    ,Jln. Dr. Rivai No. 19 Bukittinggi 26115           ,"0752-21385  ","MULTIPOLYGON (((100.365457 -0.302303, 100.365509 -0.302191, 100.365634 -0.302233, 100.365589 -0.302355, 100.365457 -0.302303)))",,0,0,"0 ",f,
H068,Hotel Marmy              ,Jln.Kesehatan No 30 Bukittinggi (Kode Pos : 26113),"0752-23342  ","MULTIPOLYGON (((100.365213 -0.299415, 100.36528 -0.299257, 100.365468 -0.299339, 100.365402 -0.299485, 100.365213 -0.299415)))",,0,0,"0 ",f,
H008,Hotel Pusako             ,Jln.Soekarno Hatta No.7 Bukittinggi               ,"0752-32111  ","MULTIPOLYGON (((100.382219 -0.299386, 100.38277 -0.299544, 100.382876 -0.299311, 100.382973 -0.299337, 100.383126 -0.299052, 100.383517 -0.298949, 100.384116 -0.299065, 100.384109 -0.299787, 100.383854 -0.299962, 100.383232 -0.299981, 100.382744 -0.299971, 100.382016 -0.299758, 100.382142 -0.299369, 100.382219 -0.299386)))",1,1,0,"0 ",d,
H055,Hotel Imran              ,"Jln. Panorama No.10 Bukittinggi, Sumatera Barat   ","0752-33533  ","MULTIPOLYGON (((100.368563 -0.307452, 100.368679 -0.307439, 100.36868 -0.307423, 100.368782 -0.30741, 100.368802 -0.307547, 100.368732 -0.307563, 100.368737 -0.307605, 100.368705 -0.307608, 100.368707 -0.307625, 100.368648 -0.307641, 100.368626 -0.307623, 100.36862 -0.307579, 100.368573 -0.307579, 100.368563 -0.307452)))",,1,1,"0 ",f,
H064,Hotel Nirwana            ,Jln. A. Yani No. 113                              ,"081363358686","MULTIPOLYGON (((100.368565 -0.299733, 100.36865 -0.299731, 100.36865 -0.299797, 100.368561 -0.299798, 100.368565 -0.299733)))",1,0,0,"0 ",f,
H069,Hotel Nikita Palace      ,Jln. Soekarno Hatta Bukittinggi                   ,"0752-32727  ","MULTIPOLYGON (((100.389149 -0.296299, 100.389415 -0.296275, 100.389436 -0.296495, 100.389355 -0.296502, 100.389362 -0.296576, 100.389233 -0.29659, 100.389233 -0.296551, 100.389163 -0.296555, 100.389149 -0.296299)))",1,1,1,"0 ",a,
H057,Hotel Dahlia             ,Jln. A. Yani No 109                               ,"0752-627296 ","MULTIPOLYGON (((100.368654 -0.30168, 100.368963 -0.301702, 100.368965 -0.301809, 100.368632 -0.301795, 100.368629 -0.301681, 100.368668 -0.301681, 100.368667 -0.30168, 100.368664 -0.30168, 100.368654 -0.30168)))",1,,0,"0 ",f,
H043,Hotel Nikita             ,Jln. Sudirman No. 55 Bukittinggi                  ,"0752-32727  ","MULTIPOLYGON (((100.37191 -0.311118, 100.372045 -0.311057, 100.372061 -0.311084, 100.372091 -0.311074, 100.372129 -0.311136, 100.372077 -0.311154, 100.372095 -0.311174, 100.371942 -0.311234, 100.371904 -0.311148, 100.37192 -0.311142, 100.37191 -0.311118)))",,0,0,"0 ",a,
H049,Wisma Puri Kartika I     ,"Jalan Panorama no.16 Bukittinggi, Sumatera Barat  ","0725-23322  ","MULTIPOLYGON (((100.367823 -0.307488, 100.367834 -0.307366, 100.36806 -0.307402, 100.368043 -0.307491, 100.368018 -0.307483, 100.368009 -0.307606, 100.367837 -0.3076, 100.367848 -0.307491, 100.367823 -0.307488)))",,0,0,"0 ",f,
H044,Hotel Bagindo            ,Jln. Jend Sudirman No. 45                         ,"0752-21286  ","MULTIPOLYGON (((100.372017 -0.31186, 100.3723 -0.311738, 100.372361 -0.311872, 100.372067 -0.311997, 100.372017 -0.31186)))",,0,0,"0 ",a,
H061,Hotel NZSW               ,Jln. Sutan Syahrir No 24 Tarok Dipo Guguk Panjang ,"0752-8100081","MULTIPOLYGON (((100.378905 -0.312506, 100.379065 -0.312527, 100.37905 -0.312677, 100.378886 -0.312656, 100.378905 -0.312506)))",1,0,0,"0 ",f,
H062,Hotel Sultan Syariah     ,Batas Kota Km 3                                   ,"081315935736","MULTIPOLYGON (((100.397704 -0.295285, 100.397675 -0.295275, 100.397651 -0.295002, 100.397764 -0.294977, 100.397792 -0.295271, 100.397704 -0.295285)))",1,1,0,"0 ",f,
H009,Hotel Citra              ,Jln. Guru Hamzah No. 1                            ,"081267728989","MULTIPOLYGON (((100.374569 -0.311157, 100.374671 -0.31118, 100.374635 -0.311339, 100.374541 -0.311308, 100.374569 -0.311157)))",1,1,0,"0 ",f,tourism
H063,Hotel Dewi Kembar        ,Jln. By Pass Koto Dalam                           ,,"MULTIPOLYGON (((100.386794 -0.308145, 100.386931 -0.308013, 100.387005 -0.308073, 100.386858 -0.308208, 100.386794 -0.308145)))",1,0,0,"0 ",f,
H065,Hotel Rajawali           ,Jln. A. Yani No. 152                              ,"0752-31905  ","MULTIPOLYGON (((100.368772 -0.299525, 100.368772 -0.299428, 100.368934 -0.29938, 100.368934 -0.299413, 100.368969 -0.299405, 100.368981 -0.29949, 100.368777 -0.299547, 100.368772 -0.299525)))",1,1,0,"0 ",f,
H050,Minang Internasional     ,"Jln. Panorama no.22 Bukittinggi, Sumatera Barat   ","0752-21120  ","MULTIPOLYGON (((100.366336 -0.307415, 100.366385 -0.307146, 100.366446 -0.307128, 100.366611 -0.307188, 100.366553 -0.307496, 100.366336 -0.307415)))",,1,1,"0 ",f,
H067,Hotel Mitra Arena        ,Jln. Soekarno Hatta No 30 Bukittinggi             ,"0752-21268  ","MULTIPOLYGON (((100.372408 -0.301694, 100.372471 -0.301653, 100.372533 -0.301757, 100.372466 -0.301798, 100.372408 -0.301694)))",1,1,0,"0 ",f,
H070,Hotel Starli             ,Jln. Tengku Umar No 138                           ,"0752-21492  ","MULTIPOLYGON (((100.36739 -0.303288, 100.367481 -0.303239, 100.367525 -0.30332, 100.367425 -0.303362, 100.36739 -0.303288)))",1,1,0,"0 ",f,
H053,Hotel Bunda              ,"Jln. Panorama No.6 Bukittinggi, Sumatera Barat    ","0752)27355  ","MULTIPOLYGON (((100.368941 -0.30723, 100.369059 -0.307216, 100.369151 -0.307473, 100.369031 -0.307526, 100.368941 -0.30723)))",,1,0,"0 ",b,
H054,Hotel Indria             ,"Jln. H.Agus Salim No.1 Bukittinggi, Sumatera Barat","0752-21569  ","MULTIPOLYGON (((100.369389 -0.307009, 100.369472 -0.307021, 100.369517 -0.307104, 100.36951 -0.307127, 100.369401 -0.307134, 100.369389 -0.307009)))",,1,1,"0 ",f,
H005,Hotel Agung              ,Jln. Batang Agam No. 6 Belakang Balok             ,"0752-22229  ","MULTIPOLYGON (((100.371699 -0.312372, 100.371799 -0.312323, 100.371816 -0.312315, 100.37187 -0.312432, 100.371816 -0.312468, 100.371806 -0.312448, 100.371745 -0.312479, 100.371699 -0.312372)))",1,1,1,"0 ",f,own
H006,Campago Resort Hotel     ,Jln. Cempaka 1 Guguak Bulek Bukittinggi           ,"0752-35151  ","MULTIPOLYGON (((100.381645 -0.294639, 100.381504 -0.294282, 100.381681 -0.294062, 100.38193 -0.294078, 100.382069 -0.294397, 100.382018 -0.294419, 100.382057 -0.294504, 100.381645 -0.294639)))",1,1,0,"0 ",c,own
H002,Sumatera Hotel           ,Jln. Setia Budi No 16E                            ,"0752-21309  ","MULTIPOLYGON (((100.366802 -0.3068, 100.366833 -0.306798, 100.366842 -0.306874, 100.366892 -0.306917, 100.366972 -0.306921, 100.366973 -0.307, 100.366953 -0.307023, 100.366832 -0.307026, 100.366768 -0.306983, 100.366756 -0.306931, 100.366788 -0.3069, 100.366781 -0.3068, 100.366802 -0.3068)))",1,0,0,"0 ",f,tourism
H011,Hotel Yuriko             ,"Jl.Jend.Surdirman No.7, Bukit Cangang Kayu Ramang ","0752-22412  ","MULTIPOLYGON (((100.370464 -0.308105, 100.37065 -0.308031, 100.370733 -0.308201, 100.370553 -0.308289, 100.370464 -0.308105)))",,1,1,"0 ",f,hamdits
H025,Hotel DEnam              ,Jln.Yos Sudarso Blok L No. 4                      ,"0752-32240  ","MULTIPOLYGON (((100.367137 -0.302875, 100.367151 -0.302851, 100.367125 -0.302817, 100.367195 -0.302759, 100.36727 -0.302847, 100.367167 -0.302919, 100.367137 -0.302875)))",,0,0,"0 ",f,
H026,Merdeka Homestay         ,Jln. Dr. A. Rivai No. 20                          ,"0752-23937  ","MULTIPOLYGON (((100.366423 -0.300581, 100.366468 -0.300431, 100.366621 -0.300482, 100.366571 -0.300629, 100.366423 -0.300581)))",,1,0,"0 ",e,
H027,Hotel Royal Denai        ,"Jalan Dr. A. Rivai No.26, Bukittinggi             ","0752-32920  ","MULTIPOLYGON (((100.366758 -0.299631, 100.367163 -0.299484, 100.36713 -0.299428, 100.367333 -0.299343, 100.367442 -0.299668, 100.367229 -0.299763, 100.367196 -0.299697, 100.366848 -0.299843, 100.366758 -0.299631)))",,0,0,"0 ",b,
H028,Singgalang Indah Hotel   ,"Jl. Jend. A. Yani No. 130, Benteng Ps. Atas       ","0752-21576  ","MULTIPOLYGON (((100.368766 -0.30036, 100.368773 -0.300263, 100.368938 -0.30028, 100.368923 -0.300381, 100.368766 -0.30036)))",,0,0,"0 ",f,
H021,Hotel Hello Guest House  ,Jln. Teuku Umar No. 6B                            ,"0752 21542  ","MULTIPOLYGON (((100.367899 -0.302724, 100.367959 -0.302702, 100.368014 -0.302787, 100.367957 -0.302818, 100.367899 -0.302724)))",,0,0,"0 ",e,
H022,Wisata New Hotel         ,Jln.Muhammad Syafei No. 1                         ,"0752-22962  ","MULTIPOLYGON (((100.373665 -0.309877, 100.373664 -0.309853, 100.373818 -0.309885, 100.373826 -0.310044, 100.373681 -0.310078, 100.373665 -0.309877)))",,0,0,"0 ",f,
H023,Hotel Grand Kartini      ,Jln. Teuku Umar No. 5                             ,"0752-33337  ","MULTIPOLYGON (((100.368043 -0.302942, 100.368224 -0.302862, 100.368283 -0.30298, 100.368092 -0.30306, 100.368043 -0.302942)))",,1,0,"0 ",a,
H024,Hotel Mountain View      ,"Jln. Yos Sudarso No. 31, Bukittinggi              ","0752-21621  ","MULTIPOLYGON (((100.366803 -0.302585, 100.366834 -0.302573, 100.36678 -0.302521, 100.366827 -0.302481, 100.366803 -0.302462, 100.366848 -0.302415, 100.366865 -0.302427, 100.36689 -0.302391, 100.366879 -0.302375, 100.3669 -0.302356, 100.367044 -0.302523, 100.366876 -0.30267, 100.366803 -0.302585)))",,0,0,"0 ",f,
H047,Hotel Benteng            ,"Jln. Benteng No.1, Benteng Ps. Atas, Guguk Panjang","0752-21115  ","MULTIPOLYGON (((100.367793 -0.302522, 100.367664 -0.302414, 100.36769 -0.302374, 100.367638 -0.302327, 100.367791 -0.302096, 100.367753 -0.30208, 100.367805 -0.302, 100.367838 -0.302021, 100.367955 -0.301833, 100.368031 -0.301875, 100.368064 -0.301977, 100.368108 -0.302101, 100.368012 -0.302252, 100.367861 -0.302466, 100.367793 -0.302522)))",,1,0,"0 ",a,
H048,Hotel Batang Sianok      ,Jln. Soekarno Hatta no.73                         ,"0725-21106  ","MULTIPOLYGON (((100.374708 -0.299706, 100.37483 -0.299659, 100.374875 -0.299776, 100.374766 -0.299831, 100.374708 -0.299706)))",,0,0,"0 ",f,
H029,Hotel Murni              ,"Jln. Jend A Yani, No. 115                         ","0752-35569  ","MULTIPOLYGON (((100.368506 -0.299698, 100.368473 -0.299592, 100.368593 -0.29955, 100.368626 -0.299677, 100.368506 -0.299698)))",,0,0,"0 ",f,
H030,Novotel                  ,"Jln. Laras Datuk Bandaro, Bukittinggi             ","0752-35000  ","MULTIPOLYGON (((100.367888 -0.305375, 100.368275 -0.305486, 100.368216 -0.305998, 100.368574 -0.306057, 100.368522 -0.30638, 100.368654 -0.306443, 100.368588 -0.306571, 100.368079 -0.306401, 100.368079 -0.306358, 100.367815 -0.306292, 100.367888 -0.305375)))",,1,0,"0 ",d,
H042,Hotel Kharisma           ,Jl. Jend Sudirman No 57 Bukittinggi 26112         ,"0752-626900 ","MULTIPOLYGON (((100.37183 -0.311059, 100.371892 -0.311007, 100.371892 -0.310985, 100.372007 -0.310945, 100.372045 -0.311037, 100.371932 -0.311084, 100.371876 -0.311136, 100.37183 -0.311059)))",,0,0,"0 ",b,
H001,Hotel Villa 2000         ,Jln. Batang Masang No. 4A                         ,-           ,"MULTIPOLYGON (((100.372649 -0.316556, 100.372625 -0.316527, 100.372689 -0.316482, 100.37274 -0.316553, 100.372671 -0.316598, 100.37264 -0.316565, 100.372649 -0.316556)))",1,1,0,"0 ",f,
H004,Amali Gallery            ,Jln. Cindua Mato No. 98A                          ,"0752-35662  ","MULTIPOLYGON (((100.369696 -0.301702, 100.369807 -0.301688, 100.369969 -0.301661, 100.370028 -0.301667, 100.370031 -0.301716, 100.369969 -0.301723, 100.369962 -0.301792, 100.369831 -0.301816, 100.369831 -0.301837, 100.369686 -0.301864, 100.369696 -0.301702)))",1,1,0,"0 ",f,
H003,Jogja Hotel              ,Jln. Pemuda                                       ,"0752-21142  ","MULTIPOLYGON (((100.369876 -0.305835, 100.370125 -0.305774, 100.370159 -0.305899, 100.3699 -0.305969, 100.369876 -0.305835)))",1,1,1,"0 ",f,
H040,Hotel Yany               ,Jln. A.Yani No 101 Bukittinggi                    ,"0752-22419  ","MULTIPOLYGON (((100.368369 -0.300744, 100.368479 -0.30076, 100.368469 -0.300845, 100.368343 -0.300827, 100.368353 -0.300742, 100.368369 -0.300744)))",,0,0,"0 ",f,
H066,Bamboosa Guest House     ,Jln.Bahder Johan No. 38 Bukittinggi               ,"085668991987","MULTIPOLYGON (((100.37063 -0.295861, 100.370581 -0.295731, 100.370706 -0.295703, 100.370739 -0.295838, 100.37063 -0.295861)))",1,1,0,"0 ",e,
H039,Hotel Tigo Balai         ,Jln .A.Yani No 100 Bukittinggi                    ,"081277339232","MULTIPOLYGON (((100.368613 -0.301856, 100.368917 -0.301868, 100.368913 -0.30193, 100.368619 -0.301938, 100.368613 -0.301856)))",,0,0,"0 ",f,
H060,Hotel Muslim             ,Jln. Soekarno Hatta No.93                         ,,"MULTIPOLYGON (((100.376367 -0.299167, 100.376328 -0.299055, 100.376514 -0.29901, 100.376542 -0.299121, 100.376367 -0.299167)))",1,1,1,"0 ",f,
H059,Hotel Mina               ,Jln. Prof.Hamka No. 32 A                          ,"081320588842","MULTIPOLYGON (((100.378044 -0.30508, 100.378225 -0.30493, 100.378303 -0.305028, 100.378113 -0.305178, 100.378044 -0.30508)))",1,0,0,"0 ",f,
H012,Hotel Sari               ,"Jl. Yos Sudarso No. 7, Kayu Kubu, Guguk Panjang   ",,"MULTIPOLYGON (((100.367203 -0.304879, 100.367328 -0.304822, 100.367284 -0.304745, 100.367357 -0.304717, 100.367485 -0.304925, 100.367414 -0.304957, 100.367216 -0.304999, 100.367157 -0.304912, 100.367203 -0.304879)))",,1,0,"0 ",f,
H052,Hotel Ambun Suri         ,"Jln. Panorama No.2 Bukittinggi, Sumatera Barat    ","0752-34406  ","MULTIPOLYGON (((100.369209 -0.307188, 100.369209 -0.307158, 100.369521 -0.307135, 100.369569 -0.307225, 100.369273 -0.307423, 100.369209 -0.307188)))",,1,0,"0 ",f,
H014,Hotel Ananda             ,"Jl. Yos Sudarso No.22, Kayu Kubu, Guguk Panjang   ","0752-8805330","MULTIPOLYGON (((100.366662 -0.303654, 100.366818 -0.303573, 100.366865 -0.303654, 100.366712 -0.303738, 100.366662 -0.303654)))",1,1,1,"0 ",f,
H013,Hotel Prima Dini         ,Jln. Yos Sudarso No.10 Benteng                    ,"0752-32888  ","MULTIPOLYGON (((100.367408 -0.304366, 100.367607 -0.304289, 100.367674 -0.304425, 100.367468 -0.304504, 100.367408 -0.304366)))",,1,0,"0 ",a,
H016,Hotel Grand Royal Denai  ,"Jln. Yos Sudarso No. 5, 6, 7                      ","0752-8100535","MULTIPOLYGON (((100.367237 -0.301615, 100.366918 -0.301378, 100.36705 -0.301131, 100.367528 -0.301439, 100.367556 -0.301576, 100.367237 -0.301615)))",,1,0,"0 ",d,
H015,Hotel Royal Denai View   ,Jln. Yos Sudarso 7A                               ,"0752-22953  ","MULTIPOLYGON (((100.367186 -0.301872, 100.367251 -0.301642, 100.367511 -0.301645, 100.367537 -0.301743, 100.367488 -0.30195, 100.367186 -0.301872)))",1,1,0,"0 ",c,
H017,Hotel Asri               ,Jln. Muhammad Syafei No. 14                       ,"0752-35048  ","MULTIPOLYGON (((100.373275 -0.310198, 100.373418 -0.310143, 100.37347 -0.31026, 100.373324 -0.310323, 100.373275 -0.310198)))",1,1,0,"0 ",f,
H020,Hotel Orchid             ,Jln. Teuku Umur No. 11                            ,"0752-32634  ","MULTIPOLYGON (((100.367618 -0.303165, 100.367715 -0.30312, 100.367767 -0.303206, 100.367673 -0.303261, 100.367618 -0.303165)))",,1,0,"0 ",f,
