"geom","id","name","address","cp","""open""","""close""","capacity","employee","mushalla","park_area","bathroom","id_category"
"MULTIPOLYGON (((100.378491 -0.312295, 100.378507 -0.312199, 100.378599 -0.312219, 100.378579 -0.312323, 100.378491 -0.312295)))",R0017,D'Besto Tarok,Jln. Sutan Syahrir No.41 K,,10:00:00,22:00:00,30,5,0,1,1,1
"MULTIPOLYGON (((100.377592 -0.312107, 100.377604 -0.312017, 100.377703 -0.312044, 100.377685 -0.312125, 100.377592 -0.312107)))",R0016,Rumah Kue Bunda,"Jln. Sutan Shahrir No.23, Tarok Dipo","07527003471",07:00:00,21:00:00,150,5,0,1,1,9
"MULTIPOLYGON (((100.380185 -0.312662, 100.380307 -0.312662, 100.380305 -0.312762, 100.380181 -0.312762, 100.380185 -0.312662)))",R0018,Bakso iga hockey,Jln. Sutan Syahrir No.41 I,,09:00:00,21:00:00,30,10,0,1,1,6
"MULTIPOLYGON (((100.367544 -0.301566, 100.36734 -0.301582, 100.367448 -0.301398, 100.36752 -0.301446, 100.367544 -0.301566)))",R0020,Restoran Grand Royal Dena,"Jln. Yos Sudarso No.6 ,7","07528100535",09:00:00,22:00:00,30,5,1,1,1,1
"MULTIPOLYGON (((100.373758 -0.310335, 100.373934 -0.310255, 100.373962 -0.310315, 100.37379 -0.310391, 100.373758 -0.310335)))",R0014,Komby Bento,Jln. Muhammad Syafei,"08126778386",09:00:00,22:00:00,50,4,0,1,0,2
"MULTIPOLYGON (((100.368663 -0.301022, 100.368721 -0.301022, 100.368719 -0.30106, 100.368671 -0.30106, 100.368663 -0.301022)))",R0024,Lim Bakery,Jln. Jenderal Ahmad Yani No.120,"075221607",10:00:00,23:00:00,40,10,0,0,1,9
"MULTIPOLYGON (((100.367867 -0.299188, 100.367859 -0.299144, 100.367965 -0.299116, 100.367975 -0.299158, 100.367867 -0.299188)))",R0021,Orchid Cafe & Resto,Jln. kesehatan No.34,"075222089",09:00:00,22:00:00,200,6,0,1,1,2
"MULTIPOLYGON (((100.369091 -0.304475, 100.368866 -0.304438, 100.368884 -0.304342, 100.369107 -0.304382, 100.369091 -0.304475)))",R0028,Pizza Hut,Jln. A. Yani no.3-5  Guguak Panjang,"075233533",10:00:00,23:00:00,5,10,1,1,1,1
"MULTIPOLYGON (((100.368972 -0.304487, 100.369095 -0.304509, 100.369067 -0.304655, 100.36893 -0.304635, 100.368972 -0.304487)))",R0029,KFC,"Jln. A.Yani No.1, Benteng Ps. Atas, Guguk Panjang","075223636",10:00:00,22:00:00,70,10,0,0,1,1
"MULTIPOLYGON (((100.367805 -0.302796, 100.367879 -0.30276, 100.367949 -0.302854, 100.367865 -0.3029, 100.367805 -0.302796)))",R0013,Canyon Cafe,Jln. Teuku Umar,"07528100349",16:00:00,23:00:00,30,4,0,1,0,2
"MULTIPOLYGON (((100.372087 -0.311244, 100.372071 -0.311216, 100.372113 -0.311198, 100.372129 -0.311228, 100.372087 -0.311244)))",R0033,Batagor Ihsan,Jln. Jend. Sudirman No.51A,"085374474590",10:00:00,23:00:00,5,15,0,1,1,9
"MULTIPOLYGON (((100.372085 -0.311432, 100.372225 -0.311376, 100.372301 -0.311556, 100.372153 -0.311616, 100.372085 -0.311432)))",R0034,Soerabi Enhaii Bandung,Jln. Jend. Sudirman No.49A,"081315547418",10:00:00,21:00:00,80,15,1,1,1,1
"MULTIPOLYGON (((100.368778 -0.299549, 100.36893 -0.299509, 100.36893 -0.299666, 100.368786 -0.299678, 100.368778 -0.299549)))",R0037,Turret Cafe,Jln. Ahmad Yani 142 Guguak Panjang,"0752625956",14:00:00,23:00:00,40,10,1,1,1,2
"MULTIPOLYGON (((100.367153 -0.302772, 100.36712 -0.302739, 100.367153 -0.302709, 100.36718 -0.302742, 100.367153 -0.302772)))",R0010,Serba Cokelat,Jln. yos sudarso 6 A,"081277686337",16:00:00,21:00:00,35,3,1,1,1,9
"MULTIPOLYGON (((100.3674 -0.304544, 100.367607 -0.304483, 100.367679 -0.304592, 100.367472 -0.304687, 100.3674 -0.304544)))",R0045,Pecel Lele Simpang Presid,Jln.Yos Sudarso No.6,"075222631",,,50,10,1,1,1,8
"MULTIPOLYGON (((100.379608 -0.327159, 100.379706 -0.32713, 100.379727 -0.327124, 100.379737 -0.327181, 100.379625 -0.327217, 100.379608 -0.327159)))",R0048,Minori Bento,Jln. Raya Jambu Air Km 7 No 158,"075221931",10:00:00,21:00:00,50,5,1,1,1,3
"MULTIPOLYGON (((100.374606 -0.311835, 100.374702 -0.311799, 100.374729 -0.311871, 100.374628 -0.311898, 100.374606 -0.311835)))",R0053,Bubur Ayam Bandung Pak Om,Jln. Urip sumoharjo Lap.Kantin,"075273125",06:00:00,16:00:00,35,,0,1,1,9
"MULTIPOLYGON (((100.377813 -0.32139, 100.377915 -0.321331, 100.377965 -0.321409, 100.377849 -0.321475, 100.377813 -0.32139)))",R0008,D Liv Cafe,Jln. Jendral sudirman no 4 bukittinggi,"081374587324",10:00:00,22:00:00,50,4,0,1,1,2
"MULTIPOLYGON (((100.366928 -0.303211, 100.367015 -0.303173, 100.367067 -0.303268, 100.366979 -0.303308, 100.366928 -0.303211)))",R0012,De Cock Cafe,Jln. Teuku Umar no 18,,07:00:00,00:00:00,25,4,1,1,1,2
"MULTIPOLYGON (((100.377211 -0.320193, 100.377282 -0.320316, 100.377187 -0.320382, 100.377109 -0.320265, 100.377211 -0.320193)))",R0006,Java Juice,Jln. Sudirman Birugo Bukittingii,,10:00:00,23:00:00,50,5,1,1,1,2
"MULTIPOLYGON (((100.368811 -0.307557, 100.368858 -0.307542, 100.368888 -0.307635, 100.36884 -0.307647, 100.368811 -0.307557)))",R0007,Hayaskuri Ramen,Jln. Panorama No. 31,"085375754999",10:00:00,22:00:00,60,3,0,1,1,3
"MULTIPOLYGON (((100.368306 -0.305041, 100.368416 -0.305063, 100.368407 -0.305106, 100.368295 -0.305088, 100.368306 -0.305041)))",R0001,Bakso Lapangan Tembak,Jln. A. Yani No 1 Plaza Bukittinggi,"0823883628",08:00:00,20:30:00,100,15,0,0,0,6
"MULTIPOLYGON (((100.368597 -0.307014, 100.368678 -0.307031, 100.368645 -0.307201, 100.368559 -0.307188, 100.368597 -0.307014)))",R0002,Coffe House Jacyga,Jln. H. Agus Salim,"0752627079",11:00:00,23:00:00,50,3,1,1,1,2
