"name","""owner""","cp","address","employee","geom","id","id_souvenir_type","id_status","username"
Sanjai Mintuo,Hengki Susanti,-,Jln. Soekarno Hatta  Gantiang Bukittinggi,3,"MULTIPOLYGON (((100.387314 -0.296713, 100.387283 -0.296569, 100.387413 -0.296558, 100.38744 -0.296703, 100.387314 -0.296713)))",SO011,a,a,
Sanjai Erli,Hj. Erli,-,Sanjai Dalam No.22 Bukittinggi,6,"MULTIPOLYGON (((100.386121 -0.294003, 100.38622 -0.293937, 100.386289 -0.294026, 100.38622 -0.294075, 100.386194 -0.294036, 100.386154 -0.294054, 100.386121 -0.294003)))",SO012,a,c,
Kipang Kacang Sanjai,Reniwati,"083180554556",Sanjai Dalam Bukittinggi,5,"MULTIPOLYGON (((100.385296 -0.29453, 100.385354 -0.294605, 100.385265 -0.294689, 100.385205 -0.294611, 100.385296 -0.29453)))",SO013,a,b,
Sanjai Ni Yet,Yanti Mala,"085374229724",Jln. Mr. Assaat No 24 Sanjai Bukittinggi,5,"MULTIPOLYGON (((100.384525 -0.293747, 100.384614 -0.293723, 100.384681 -0.293754, 100.384525 -0.293851, 100.384525 -0.293747)))",SO014,a,c,
Tungku Sanjai Minang Maimbau,Yeni,"08527472377",Sanjai Dalam No. 25,6,"MULTIPOLYGON (((100.385701 -0.294444, 100.385758 -0.294391, 100.385819 -0.294446, 100.385758 -0.294504, 100.385701 -0.294444)))",SO015,a,c,
Keripik Mami Banto Darano,Mar,-,Jln. Banto Darano Sanjai Bukittinggi,4,"MULTIPOLYGON (((100.385975 -0.290947, 100.38609 -0.290984, 100.386096 -0.290984, 100.386054 -0.291105, 100.385928 -0.291031, 100.385975 -0.290947)))",SO016,a,b,
Tungku Kerupuk Sanjai Uni Yat,Yat,"081363122756",Jln. Abdul Manan Simpang Guguak Bulek Bukittinggi,5,"MULTIPOLYGON (((100.383867 -0.287592, 100.384007 -0.287564, 100.384035 -0.287805, 100.383881 -0.287833, 100.383867 -0.287592)))",SO020,a,c,
Rumah Kopi Hj. Yang,Hj. Yang,-,Jln. Bukit Apit Bukittinggi,5,"MULTIPOLYGON (((100.36027 -0.301669, 100.360357 -0.301718, 100.360292 -0.301881, 100.360171 -0.301826, 100.36027 -0.301669)))",SO022,b,b,
Sanjai Ummi Aufah Hakim,Lukman L. Hakim,"081268886416",Jln. Soekarno Hatta Bukittinggi,3,"MULTIPOLYGON (((100.382002 -0.297569, 100.382095 -0.297508, 100.382202 -0.297802, 100.382076 -0.297839, 100.382002 -0.297569)))",SO023,a,a,
Sanjai Nabila,Imam,-,Jln. Sanjai Bukittinggi,3,"MULTIPOLYGON (((100.386715 -0.2945, 100.386784 -0.294551, 100.386688 -0.294642, 100.386632 -0.294583, 100.386715 -0.2945)))",SO024,a,c,
