"ip","tanggal","hits","online"
"127.0.0.1",2017-07-08,7,"1499472511"
"127.0.0.1",2017-07-09,1,"1499572167"
"127.0.0.1",2017-07-10,3,"1499672286"
"127.0.0.1",2017-07-13,48,"1499982324"
"127.0.0.1",2017-07-11,7,"1499786536"
"127.0.0.1",2017-07-12,2,"1499872009"
"127.0.0.1",2017-07-06,21,"1499342879"
"127.0.0.1",2017-07-14,11,"1500023068"
"127.0.0.1",2017-07-15,2,"1500105118"
"127.0.0.1",2017-08-04,22,"1501819497"
"127.0.0.1",2017-07-27,26,"1501169979"
"127.0.0.1",2017-07-18,8,"1500416643"
"127.0.0.1",2017-07-19,1,"1500472958"
"127.0.0.1",2017-07-28,1,"1501200145"
"127.0.0.1",2017-07-30,2,"1501399034"
"127.0.0.1",2017-08-06,3,"1502033139"
"127.0.0.1",2017-07-20,7,"1500546250"
"127.0.0.1",2017-07-07,29,"1499471643"
"127.0.0.1",2017-08-07,5,"1502110136"
"127.0.0.1",2017-08-09,2,"1502263238"
"127.0.0.1",2017-07-21,11,"1500653935"
"127.0.0.1",2017-07-22,2,"1500731789"
"127.0.0.1",2017-07-31,13,"1501513031"
"127.0.0.1",2017-08-01,1,"1501592004"
"127.0.0.1",2017-07-23,4,"1500837901"
"127.0.0.1",2017-08-02,2,"1501686331"
"127.0.0.1",2017-07-24,59,"1500898538"
"127.0.0.1",2017-07-25,2,"1500982904"
"127.0.0.1",2017-08-10,17,"1502368763"
"127.0.0.1",2017-08-17,1,"1502934252"
"127.0.0.1",2017-08-03,20,"1501803744"
"127.0.0.1",2017-08-25,18,"1503642903"
"127.0.0.1",2017-08-28,51,"1503942918"
"127.0.0.1",2017-09-02,27,"1504355463"
"127.0.0.1",2017-09-03,5,"1504444142"
"127.0.0.1",2017-08-27,57,"1503843083"
"127.0.0.1",2017-08-26,19,"1503752519"
"127.0.0.1",2017-09-04,1,"1504541079"
"127.0.0.1",2017-08-21,86,"1503359980"
"127.0.0.1",2017-09-05,2,"1504604150"
"127.0.0.1",2017-09-06,15,"1504684919"
"127.0.0.1",2017-08-29,33,"1504017311"
"127.0.0.1",2017-09-10,36,"1505051843"
"127.0.0.1",2017-08-22,29,"1503390050"
"127.0.0.1",2017-08-23,1,"1503531343"
"127.0.0.1",2017-09-11,5,"1505174396"
"127.0.0.1",2017-09-07,81,"1504778437"
"127.0.0.1",2017-09-12,9,"1505200039"
"127.0.0.1",2017-09-13,1,"1505263727"
"127.0.0.1",2017-08-24,20,"1503557243"
"127.0.0.1",2017-09-14,5,"1505398679"
"127.0.0.1",2017-09-08,33,"1504840432"
"127.0.0.1",2017-09-15,2,"1505489892"
"127.0.0.1",2017-10-16,11,"1508198370"
"127.0.0.1",2017-10-03,98,"1507035987"
"127.0.0.1",2017-10-04,1,"1507112397"
"127.0.0.1",2017-09-16,11,"1505537983"
"127.0.0.1",2017-09-30,17,"1506812402"
"127.0.0.1",2017-10-05,4,"1507178600"
"127.0.0.1",2017-10-07,1,"1507419251"
"127.0.0.1",2017-10-08,1,"1507423498"
"127.0.0.1",2017-10-09,2,"1507537945"
"127.0.0.1",2017-10-01,16,"1506855526"
"127.0.0.1",2017-09-25,19,"1506383968"
"127.0.0.1",2017-10-02,2,"1506912050"
"127.0.0.1",2017-09-26,8,"1506385768"
"127.0.0.1",2017-09-27,4,"1506511601"
"127.0.0.1",2017-10-10,17,"1507675298"
"127.0.0.1",2017-10-11,1,"1507734998"
"127.0.0.1",2017-09-28,6,"1506643144"
"127.0.0.1",2017-10-17,23,"1508214488"
"127.0.0.1",2017-10-12,7,"1507851471"
"127.0.0.1",2017-10-13,3,"1507873609"
"127.0.0.1",2017-09-29,13,"1506726719"
"127.0.0.1",2017-10-18,6,"1508334745"
"127.0.0.1",2017-10-15,57,"1508060651"
"127.0.0.1",2017-10-19,16,"1508388248"
"127.0.0.1",2018-07-28,20,"1532795078"
"127.0.0.1",2017-07-08,7,"1499472511"
"127.0.0.1",2017-07-09,1,"1499572167"
"127.0.0.1",2017-07-10,3,"1499672286"
"127.0.0.1",2017-07-13,48,"1499982324"
"127.0.0.1",2017-07-11,7,"1499786536"
"127.0.0.1",2017-07-12,2,"1499872009"
"127.0.0.1",2017-07-06,21,"1499342879"
"127.0.0.1",2017-07-14,11,"1500023068"
"127.0.0.1",2017-07-15,2,"1500105118"
"127.0.0.1",2017-08-04,22,"1501819497"
"127.0.0.1",2017-07-27,26,"1501169979"
"127.0.0.1",2017-07-18,8,"1500416643"
"127.0.0.1",2017-07-19,1,"1500472958"
