"geom","id","name","address","land_size","park_area_size","building_size","capacity","est","last_renovation","jamaah","imam","teenager","id_category","image","username"
"MULTIPOLYGON (((100.404979 -0.309451, 100.405 -0.309242, 100.40525 -0.309268, 100.405219 -0.309477, 100.404979 -0.309451)))",M0022,Masjid Surau Kamba,Jl. Surau Kamba,,,,1500,,,150,1,15,1,,
"MULTIPOLYGON (((100.37264 -0.303829, 100.372682 -0.303696, 100.372937 -0.303681, 100.372952 -0.303889, 100.372761 -0.303908, 100.37264 -0.303829)))",M0019,Masjid Djamil Djambek,"Aur Tajungkang Tengah Sawah, Guguk Panjang",0,0,0,1500,0,0,150,1,15,1,M0019_DJAMIL DJAMBEK.JPG,
"MULTIPOLYGON (((100.378787 -0.324166, 100.378911 -0.323794, 100.379064 -0.32387, 100.378973 -0.324195, 100.378787 -0.324166)))",M0020,Masjid Al Falah,"Jl. Jambu Air, Taluak Ampek",,,,1000,,,150,1,15,1,"3_masjid al falah.JPG",
,M0000,Kementrian Agama Kota Bukittinggi,"Jl. Batang Ombilin 2 No. 10, Belakang Balok, Aur B",,,,,,,,,,,,
"MULTIPOLYGON (((100.37043929100037 -0.2994297226012364, 100.37050366401672 -0.2993036604983089, 100.37061095237732 -0.2993653504637451, 100.370554625988 -0.2994914125659729, 100.37043929100037 -0.2994297226012364)))",M0049,Masjid Darul Ikhlas,Jl. Pemuda No 6 B,200,25,150,120,0,0,100,1,15,1,"",
"MULTIPOLYGON (((100.36803603172302 -0.28756110344723, 100.3686261177063 -0.2872472889405938, 100.36877632141113 -0.2875584212719943, 100.36820501089096 -0.2878534605439401, 100.36803603172302 -0.28756110344723)))",M0009,Masjid Raudhatul Jannah,"Jl. Patanangan, Kubu Gulai Bancah",2635,635,530,240,2013,0,150,1,15,1,M0009_RAUDATUL JANNAH.JPG,
"MULTIPOLYGON (((100.37723064422607 -0.3050193684229663, 100.37706971168518 -0.3049925467128597, 100.3769999742508 -0.3049362211214184, 100.377037525177 -0.3047833373717409, 100.37720382213593 -0.3047860195428037, 100.37731915712357 -0.3048852598717718, 100.37723064422607 -0.3050193684229663)))",M0001,Masjid Darussalam Gurun Panjang,"Jl. Gurun Panjang, Pakan Kurai",510,78,377,145,1964,2001,50,2,15,1,M0001_DARUSSALAM GURUN PANJANG.JPG,
"MULTIPOLYGON (((100.37941932678223 -0.2897926730228756, 100.37949979305267 -0.2894413081307871, 100.3799718618393 -0.2896371068887837, 100.37976533174515 -0.2899133708840558, 100.37941932678223 -0.2897926730228756)))",M0004,Masjid Al Furqan,"Jl. Abdul Manan, Campago Ipuh",1950,300,1271,165,0,0,150,1,15,1,M0004_IMG_2841.JPG,
"MULTIPOLYGON (((100.376554 -0.318374, 100.376651 -0.31817, 100.376896 -0.318281, 100.376817 -0.318517, 100.376554 -0.318374)))",M0006,Masjid Jamik Birugo,"Jl. Sudirman, Birugo, Aur Birugo Tigo Baleh",2430,537,816,800,1956,0,100,2,40,1,M0006_IMG_2989.JPG,
"MULTIPOLYGON (((100.374502837658 -0.297337627939848, 100.374535024166 -0.29713110062481, 100.374956130981 -0.297176697564836, 100.3749319911 -0.297380542706127, 100.374502837658 -0.297337627939848)))",M0007,Masjid Syukra,"Jl. Ipuh Mandiangin, Campago Ipuh",1015,232,603,275,0,0,150,1,15,1,M0007_IMG_2607.JPG,
